[0.16474573,0.21593159];[-5.29142817e-04,3.96811475e-04,2.88610805e-01,9.57446269e-01];[[1.31179316, 1.70385631], [3.40000005, 0.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.76277127754858], [15.8282385512408], [0], [0], [0], [0], [0], [0], [0], [0]];[1.31179316,1.70385631]
[1.15070537,1.50737072];[6.84165685e-04,6.82047223e-05,4.34292154e-01,9.00771807e-01];[[3.99223067, 1.20969716], [2.59842147, 4.09085146], [3.23170349, -1.57527726], [0.85000001, 2.95000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.31014371598181], [9.218284184199378], [8.343704733316196], [9.2351215620985], [0], [0], [0], [0], [0], [0]];[3.99223067,1.20969716]
[3.72438791,1.23843031];[-1.46313646e-05,-1.00078733e-03,-4.95629381e-02,9.98770494e-01];[[2.89819402, -1.60647266], [0.52475019, 3.50294781], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.381400591519906], [16.445400809362916], [0], [0], [0], [0], [0], [0], [0], [0]];[0.52475019,3.50294781]
[0.72281885,3.34674422];[-1.27965066e-03,-7.90225424e-04,9.41833700e-01,3.36075928e-01];[[0.54029191, -0.24048037], [8.10000011, 1.85000002], [5.79800448, -1.10069529], [-0.60000002, 3.60000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[540.175663394261], [20.965957895761775], [0.0], [24.89071330429354], [0], [0], [0], [0], [0], [0]];[0.54029191,-0.24048037]
[0.55483078,0.00464884];[-0.00546799,0.00279458,-0.72758013,0.68599523];[[8.10000016, 1.85000005], [4.90590525, 5.35511589], [3.7500001, -1.6], [-1.89999999, 2.30968e-08], [7.61300421, -0.80510151], [-1.39999998, -1.69999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.389062025850464], [16.524373897345274], [19.68887677085905], [21.16697389287912], [18.46228994622602], [162.47678332045516], [0], [0], [0], [0]];[-1.39999998,-1.69999998]
[-1.70055594,-1.7522827];[0.00556462,0.00549807,0.96206033,0.27272466];[[3.81700787, -1.75176038], [8.10000004, 1.85000031], [-1.2965315, -3.45268605], [-4.25000015, -0.94999973], [4.90175676, 5.32613087], [-2.80042434, -1.80305588], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[44.53900426832908], [36.79430799637045], [10.264856722950148], [10.264856722950151], [8.324390841114806], [10.264856722950151], [0], [0], [0], [0]];[3.81700787,-1.75176038]
[3.66338627,-1.71369744];[2.25815698e-04,6.82889980e-06,-1.18398780e-01,9.92966099e-01];[[-4.59689529, -0.26463585], [8.60000004, 1.29999993], [5.14999999, -2.45000012], [2.19999995, -4.10000015], [-1.40000011, -3.70000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.090672457349797], [19.307272804123613], [20.92368040480831], [20.923680404808287], [19.090672457349797], [0], [0], [0], [0], [0]];[5.14999999,-2.45000012]
[4.93520512,-2.3495922];[-4.29937166e-04,2.65674534e-04,-2.21307984e-01,9.75203835e-01];[[-4.43333348, -0.7000001], [-1.59819258, -4.24458282], [8.70000004, 1.39999994], [2.19999995, -4.10000015], [-1.1000001, 5.4], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.172427873973657], [21.040182165350206], [48.88884960785605], [21.97162602057444], [50.15276087414466], [0], [0], [0], [0], [0]];[-1.1000001,5.4]
[-0.95488366,5.19036403];[-0.00125922,-0.00118818,0.86608586,0.49989226];[[-4.8475455, -0.49989667], [2.89176124, -4.79404696], [8.40000033, 2.39999995], [5.00354528, 5.42275763], [-1.39999982, -3.70000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.34719543221538], [78.37418859866675], [31.29657530143231], [100.48429993996635], [47.07776905830065], [0], [0], [0], [0], [0]];[5.00354528,5.42275763]
[4.02372438,2.43881976];[-0.00370075,0.00120012,0.10911496,0.99402152];[[-6.36756222, -2.65323354], [0.39999977, -4.30000015], [-3.20000028, -4.70000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[197.6132320445861], [51.60516624846826], [90.67061666963332], [0], [0], [0], [0], [0], [0], [0]];[-6.36756222,-2.65323354]
